Course name,Course ID,Top Ten View Counts,Top Ten Course IDs,Top Ten Course Names
Rationing and Allocating Scarce Medical Resources,368,"3, 2, 2, 2, 2, 2, 2, 1, 1, 1","343, 372, 649, 381, 941, 386, 789, 1419, 710, 1052","Gamification, An Introduction to Operations Management, Design Thinking for Business Innovation, Introduction to Genetics and Evolution, SW12x: China, Data Analysis, Health Technology Assessment, 紅樓夢(The Red Chamber Dream), Inspiring Leadership through Emotional Intelligence, Asset Pricing"
Neuroethics,369,"6, 5, 4, 4, 4, 4, 4, 3, 3, 3","701, 352, 1354, 1342, 346, 338, 1387, 622, 1340, 512","Terrorism and Counterterrorism: Comparing Theory and Practice, Fantasy and Science Fiction: The Human Mind, Our Modern World, Practical Ethics, Buddhist Meditation and the Modern World, Basic Behavioral Neurology, Social Network Analysis, Introduction to Neuroeconomics: how the brain makes decisions, Introduction to Infographics and Data Visualization, International Human Rights, Useful Genetics Part 1"
Introduction to Mathematical Thinking,370,"117, 111, 98, 97, 75, 72, 71, 61, 60, 60","563, 1496, 1579, 1335, 345, 1337, 470, 614, 331, 1480","Calculus One, Introduction to Probability - The Science of Uncertainty, StatLearning: Statistical Learning, UT.9.01x: Effective Thinking Through Mathematics, Introduction to Finance, Linear Algebra - Foundations to Frontiers, Technology Entrepreneurship Part 1, Stat2.1x: Introduction to Statistics: Descriptive Statistics, Calculus: Single Variable, Intro to Data Science"
Design: Creation of Artifacts in Society,371,"17, 11, 8, 7, 7, 7, 6, 6, 6, 6","983, 649, 985, 343, 306, 1044, 317, 359, 386, 1645","Design 101 (or Design Basics), Design Thinking for Business Innovation, The Future Of Storytelling, Gamification, Human-Computer Interaction, The Design of Everyday Things, Model Thinking, Networks: Friends, Money, and Bytes, Data Analysis, The Art of Drawing and Painting"
An Introduction to Operations Management,372,"53, 50, 46, 43, 39, 32, 30, 29, 27, 27","345, 900, 902, 546, 893, 460, 343, 1473, 912, 1526","Introduction to Finance, Principles of Project Management, Strategic Management, Foundations of Business Strategy, Big Data for Better Performance, Introduction to Computational Finance and Financial Econometrics, Gamification, Leadership: Identity, Influence and Power, Financial Markets, Financial Analysis and Decision Making"
Machine Learning,373,"79, 55, 52, 35, 35, 35, 31, 29, 29, 27","1020, 366, 835, 1026, 339, 322, 1480, 341, 592, 893","CS 7641, Machine Learning, Learning from Data (Introductory Machine Learning course), Machine Learning, CS 7545, Machine Learning for Trading, Algorithms, Part I, Computer Vision: The Fundamentals, Intro to Data Science, Computer Vision: From 3D Reconstruction to Visual Recognition, Introduction to Artificial Intelligence, Big Data for Better Performance"
"Algorithms: Design and Analysis, Part 1",374,"70, 47, 46, 36, 36, 36, 34, 32, 32, 27","339, 426, 505, 443, 824, 340, 1006, 329, 1007, 891","Algorithms, Part I, Algorithms: Design and Analysis, Part 2, Coding the Matrix: Linear Algebra through Computer Science Applications, CS169.1x: Software as a Service, Computer Networks, Algorithms, Part II, Introduction to Databases, Introduction to Logic, Introduction to Enterprise Computing, Networks Illustrated: Principles without Calculus"
Computer Science 101,375,"157, 131, 111, 80, 73, 72, 65, 63, 63, 61","442, 303, 323, 1586, 1580, 318, 328, 616, 339, 831","CS50x: Introduction to Computer Science, Introduction to Databases, Design of Computer Programs, Introduction to Computer Programming, DB: Introduction to Databases, Computer Security, Compilers, Cryptography I, Algorithms, Part I, Introduction to Programming in Java"
Automata,376,"65, 64, 62, 59, 53, 36, 35, 33, 33, 32","340, 1243, 1186, 745, 1176, 386, 375, 446, 616, 1420","Algorithms, Part II, Begin programming: build your first mobile game, Principles of Reactive Programming, Bioinformatics Algorithms (Part 1) , Concepts in Game Development, Data Analysis, Computer Science 101, 6.00x: Introduction to Computer Science and Programming, Cryptography I, Haptics: Introduction to Haptics"
Experimental Genome Science,377,"7, 7, 7, 7, 6, 6, 5, 4, 4, 4","348, 1055, 499, 384, 512, 346, 597, 896, 763, 350","Fundamentals of Pharmacology, Neuronal Dynamics - Computational Neuroscience of Single Neurons, Introduction to Pharmacy, Medical Neuroscience, Useful Genetics Part 1, Basic Behavioral Neurology, Genes and the Human Condition (From Behavior to Biotechnology), Food, Nutrition & Your Health, Mobile Health Without Borders, Vaccines"
