"Course Id","Course Name",Provider,Universities/Institutions,"Parent Subject","Child Subject",Url,"Next Session Date",Length,Video(Url)
351,"A History of the World since 1300",Coursera,"Princeton University",Humanities,"History & Philosophy",https://www.coursera.org/course/wh1300,"16th Sep, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/wKFdAL_en_E/|||https://d15cw65ipctsrr.cloudfront.net/47/58a630352d11e4a20a15dee8e65a23/large-icon.png
352,"Fantasy and Science Fiction: The Human Mind, Our Modern World",Coursera,"University of Michigan",Humanities,"Literature & Writing",https://www.coursera.org/course/fantasysf,"2nd Feb, 2015",11,https://d1a2y8pfnfh44t.cloudfront.net/RIdztDwScAQ/|||https://d15cw65ipctsrr.cloudfront.net/1c/7a6020352d11e4b28a5b9bdf8d9c55/large-icon.png
353,"Greek and Roman Mythology",Coursera,"University of Pennsylvania",Humanities,,https://www.coursera.org/course/mythology,"8th Jun, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/yk9GNVwj6-E/|||https://d15cw65ipctsrr.cloudfront.net/32/aff3f0352d11e4b1518bb3518fcc93/large-icon.png
354,"Introduction to Sociology",Coursera,"Princeton University","Social Sciences","Psychology & Sociology",https://www.coursera.org/course/soc101,NA,,https://d1a2y8pfnfh44t.cloudfront.net/PuULIH_RvOM/|||https://d15cw65ipctsrr.cloudfront.net/43/06b130352d11e494bcf927fb09cbc9/large-icon.png
355,"Listening to World Music",Coursera,"University of Pennsylvania","Art & Design",Music,https://www.coursera.org/course/worldmusic,NA,,https://d1a2y8pfnfh44t.cloudfront.net/662f5bf00dbc11e4897785a4286a9aa5/|||https://d15cw65ipctsrr.cloudfront.net/47/cee7a0352d11e4ae1bdd88b9e8f59b/large-icon.png
356,"Modern & Contemporary American Poetry",Coursera,"University of Pennsylvania",Humanities,"Literature & Writing",https://www.coursera.org/course/modernpoetry,"6th Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/PUok9h6uvO0/|||https://d15cw65ipctsrr.cloudfront.net/33/3fd7e0352d11e48e9c2583f964c285/large-icon.png
357,"Software Engineering for SaaS",Coursera,"University of California, Berkeley","Computer Science",,https://www.coursera.org/course/saas,"13th Jul, 2012",5,https://www.youtube.com/watch?v=jCory8n6WEY
359,"Networks: Friends, Money, and Bytes",Coursera,"Princeton University","Computer Science",,https://www.coursera.org/course/friendsmoneybytes,"15th Sep, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/dyMdEfabUqE/|||https://d15cw65ipctsrr.cloudfront.net/1d/7e3b90352d11e485fc9138b3373442/large-icon.png
361,"Introduction to Statistics",Udacity,"Stanford University","Mathematics and Stats",Statistics,http://www.udacity.com/overview/Course/st101/CourseRev/1,"Self paced",7,https://www.youtube.com/watch?v=bAkFZtE6XVQ&feature=player_embedded
363,"Introduction to Physics",Udacity,,Science,"Physics & Astronomy",http://www.udacity.com/overview/Course/ph100/CourseRev/1,"Self paced",7,https://www.youtube.com/watch?v=cuKmcq6pu9s&feature=player_embedded
364,Algorithms,Udacity,,"Computer Science",,http://www.udacity.com/overview/Course/cs215/CourseRev/1,"Self paced",7,https://www.youtube.com/watch?v=-jTyn7xuyvE&feature=player_embedded
365,"Software Testing",Udacity,"University of Utah","Computer Science",,http://www.udacity.com/overview/Course/cs258/CourseRev/1,"Self paced",7,https://www.youtube.com/watch?v=e06Vo9rba3k&feature=player_embedded
366,"Learning from Data (Introductory Machine Learning course)",,"California Institute of Technology","Computer Science","Artificial Intelligence",http://work.caltech.edu/telecourse.html,"Self paced",10,https://www.youtube.com/watch?v=gPY-dL2EoD4
367,"CS-191x: Quantum Mechanics and Quantum Computation",Coursera,,"Computer Science",,https://www.coursera.org/course/qcomp,,9,http://www.youtube.com/watch?v=cEiikINgEUQ
