Course name,Course ID,Top Ten View Counts,Top Ten Course IDs,Top Ten Course Names
Course Name,Course Id
A History of the World since 1300,351,"20.303946005335483, 10.485454442686894, 9.587767032249994, 7.64314499987061, 6.227913248401669, 6.059676307717872, 5.726257213986788, 4.263371459556812, 4.10582949344785, 4.098767779631861","430, 566, 1361, 354, 2371, 579, 418, 2372, 502, 1705","The Modern World: Global History since 1760, A Brief History of Humankind, Paradoxes of War, Introduction to Sociology, Global History Lab, Part 1, History of Ancient Civilization, Introduction to Philosophy, Global History Lab, Part 2, The Ancient Greeks, The French Revolution"
"Fantasy and Science Fiction: The Human Mind, Our Modern World",352,"35.140506666654495, 31.678595826307134, 28.876493267995833, 19.346589694716823, 17.37064081419639, 16.500727942817594, 13.513714218509728, 12.598784777786983, 11.393904041814865, 11.231619982034772","1759, 766, 1699, 317, 510, 728, 989, 905, 509, 1561","Start writing fiction, Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing), How Writers Write Fiction, Model Thinking, The Fiction of Relationship, Comic Books and Graphic Novels, Thinking Like a Writer, Writing for the Web, The Language of Hollywood: Storytelling, Sound, and Color, ColWri2.2: English Grammar and Essay Writing"
Greek and Roman Mythology,353,"9.728325125750494, 9.225293037259757, 7.771315716747355, 6.542576538439065, 5.50768878757576, 4.8733324409795, 4.643682002432305, 4.008907430929751, 3.8083221202055317, 3.7168654028846366","352, 579, 418, 502, 1759, 910, 989, 766, 1268, 1361","Fantasy and Science Fiction: The Human Mind, Our Modern World, History of Ancient Civilization, Introduction to Philosophy, The Ancient Greeks, Start writing fiction, Roman Architecture, Thinking Like a Writer, Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing), History of the Slave South, Paradoxes of War"
Introduction to Sociology,354,"76.63072576073544, 70.50663641584002, 24.05824577036375, 21.77433029566644, 20.018186411707955, 14.92912273988587, 14.06818441261187, 12.562547101309773, 11.411378998672712, 9.901104400272986","1416, 1593, 555, 830, 1355, 317, 946, 892, 897, 1574","Sociology, Introduction to Sociology, Social Psychology, Introduction to Psychology, Buddhism and Modern Psychology , Model Thinking, SOC108x: Introduction to Global Sociology, Becoming Human: Anthropology, Foundations of Psychology, How to Read a Mind"
Listening to World Music,355,"13.787517803058444, 13.018997135546172, 12.807397382750409, 7.2958766380676785, 5.596429558973493, 4.439320707727746, 4.166163518521263, 3.9926155168551105, 3.927346231121194, 3.6405323619521788","1477, 1535, 821, 1358, 1135, 1336, 1726, 1554, 523, 522","World Music, Introduction to Music (MUSC-1030), Introduction to Classical Music, Fundamentals of Music Theory, The Music of the Beatles, UT.8.02x: Jazz Appreciation, Developing Your Musicianship, What is Music? Finding Your Song, Songwriting, Introduction to Guitar"
Modern & Contemporary American Poetry,356,"10.842738880604072, 9.195655964387045, 8.322525354015122, 6.939993107251171, 6.85127165978259, 5.8703591500063315, 5.258773601492016, 5.056536075743251, 4.480478512300025, 4.002186219577524","1833, 1699, 2389, 940, 766, 2036, 2135, 510, 1759, 351","ARPO222x: The Art of Poetry, How Writers Write Fiction, Poetry: What It Is, and How to Understand It, AI12.2x: Poetry in America: Whitman
, Crafting an Effective Writer: Tools of the Trade (Fundamental English Writing), How Writers Write Poetry, Exploring English: Language and Culture, The Fiction of Relationship, Start writing fiction, A History of the World since 1300"
Software Engineering for SaaS,357,"49.249919613649844, 46.75659160825959, 15.790299177256646, 6.403322969560939, 5.910703230461295, 5.818196456734081, 4.92432178932179, 4.6071365896283245, 3.9099784127512227, 3.3709153328193575","305, 443, 558, 303, 2335, 1816, 365, 408, 322, 328","Software as a Service, CS169.1x: Engineering Software as a Service, CS169.2x: Engineering Software as a Service, Part 2, Introduction to Databases, Software Development Process, Web Application Architectures, Software Testing, An Introduction to Interactive Programming in Python (Part 1), Computer Vision: The Fundamentals, Compilers"
"Networks: Friends, Money, and Bytes",359,"12.247796152706117, 11.755842775439955, 11.034170093495403, 9.312859600561994, 7.722951543570677, 7.003436172925625, 6.427095926562434, 6.163927761776068, 5.8950423398614955, 5.335631894714413","835, 824, 1341, 342, 1152, 1816, 408, 921, 339, 616","Machine Learning, Computer Networks, 6.00.1x: Introduction to Computer Science and Programming Using Python, Computer Architecture, Data Mining with Weka, Web Application Architectures, An Introduction to Interactive Programming in Python (Part 1), Analysis of Algorithms, Algorithms, Part I, Cryptography I"
Introduction to Statistics,361,"573.9336663874786, 337.9492461399398, 219.3628557608516, 163.4834944344238, 157.13099447653875, 102.20451227252825, 99.3823480524499, 84.29458739483319, 83.13001677648437, 82.76391140748002","631, 1579, 334, 614, 1349, 320, 1713, 2309, 345, 2310","Statistics: The Science of Decisions, StatLearning: Statistical Learning, Statistics One, Stat2.1X: Introduction to Statistics: Descriptive Statistics, Data Analysis and Statistical Inference , Introduction to Computer Science, R Programming, Intro to Descriptive Statistics: Mathematics for Understanding Data, Introduction to Finance, Intro to Inferential Statistics:  Making Predictions from Data"
Introduction to Physics,363,"93.50067461653886, 36.0253374774517, 35.29443605204573, 26.136414853438428, 25.029865155318557, 23.42235390702825, 19.498794834204283, 19.12123813105946, 18.359839921311575, 15.238022831603725","1174, 825, 320, 361, 630, 726, 563, 997, 629, 456","Basic Physics, Introductory Physics I with Laboratory, Introduction to Computer Science, Introduction to Statistics, College Algebra, Physics 1 for Physical Science Majors, Calculus One, Astronomy: Discovering the Universe, Visualizing Algebra, Differential Equations in Action"
